Model,Accuracy,Precision,Recall,F1-score,AUC,Time (s)
Logistic Regression,0.8487804878048781,0.8236493202027171,0.9030252100840336,0.8606618397796021,0.9231188836294011,0.42104387283325195
Support Vector Machine,0.7,0.6899189970518361,0.7588795518207283,0.7222115513124876,0.7643859695777044,0.3012092113494873
Decision Tree Classifier,0.975609756097561,0.9699893925818367,0.9834733893557424,0.9765084734823223,0.9754075807538205,0.04300069808959961
Naïve Bayes Classifier,0.8341463414634147,0.8237574700902869,0.8628571428571428,0.8428105160063757,0.9110002482005461,0.048493146896362305
One-Class Classification,0.48048780487804876,,,,0.624611754452466,0.6016690731048584
K Nearest Neighbour Classifier,0.6939024390243903,0.7031447718736473,0.7044817927170868,0.7035599461663721,0.8132196486189412,0.08816385269165039
Random Forest Classifier,0.9792682926829268,0.9751396346854715,0.9858543417366947,0.980093580281298,0.9962034845583803,0.6422548294067383
Neural Network Based Classifier,0.8463414634146341,0.8144080068809133,0.9102521008403361,0.8589397249526207,0.9159427410204588,1.2861049175262451
