Model,Accuracy,Precision,Recall,F1-score,AUC,Time (s)
Logistic Regression,0.7084304584304585,0.614545346248342,0.48235294117647054,0.5379430010513914,0.7578605542263656,0.10134148597717285
Support Vector Machine,0.695881895881896,0.5762747930571943,0.5294117647058822,0.548790529505817,0.743321049785038,0.8656537532806396
Decision Tree Classifier,0.6456682206682207,0.5048819881885154,0.5254901960784314,0.5141390037506336,0.6217414221415541,0.11600422859191895
Naïve Bayes Classifier,0.7001554001554002,0.5566875762191132,0.7686274509803922,0.6453730472780783,0.7533756840744713,0.11809635162353516
One-Class Classification,0.3234459984459984,,,,0.6110011722829896,1.7943596839904785
K Nearest Neighbour Classifier,0.648533411033411,0.5066707681670385,0.4549019607843137,0.47794875111595914,0.6822543977852946,0.18839478492736816
Random Forest Classifier,0.7265831390831391,0.6368089772907048,0.5372549019607843,0.5818638631494174,0.786648287178359,1.8009288311004639
Neural Network Based Classifier,0.6764568764568765,0.5442811260266414,0.5294117647058824,0.5349455801670955,0.7289891739772113,26.382401704788208
