Model,Accuracy,Precision,Recall,F1-score,AUC,Time (s)
Logistic Regression,0.7112470862470863,0.6260314206983606,0.5396226415094338,0.5785892887605554,0.7760826594788859,0.14832711219787598
Support Vector Machine,0.6944832944832944,0.5901864801864802,0.5547169811320755,0.5690446186037889,0.768624876172046,0.5255482196807861
Decision Tree Classifier,0.6569250194250195,0.5342232124939403,0.5622641509433962,0.5447793305156977,0.6374446517842745,0.08135294914245605
Naïve Bayes Classifier,0.708517871017871,0.594836196302978,0.6679245283018866,0.628739763848123,0.7729241827355035,0.06151533126831055
One-Class Classification,0.3290889665889666,,,,0.5279706769460792,1.566239833831787
K Nearest Neighbour Classifier,0.669395881895882,0.5527692076142585,0.5358490566037736,0.5422020113341384,0.719136775174511,0.1852130889892578
Random Forest Classifier,0.7474747474747474,0.6775003521681126,0.5962264150943396,0.629937384911371,0.805619370147672,1.7668657302856445
Neural Network Based Classifier,0.6624514374514374,0.5446578782172002,0.5396226415094338,0.5399896870500743,0.7377662588983344,19.41674304008484
