Model,Accuracy,Precision,Recall,F1-score,AUC,Time (s)
Logistic Regression,0.8227722772277227,0.8173826915230487,0.8616352201257861,0.8381358034901993,0.9073107631919353,0.15277838706970215
Support Vector Machine,0.8367128712871287,0.8303409908227035,0.8726065688329839,0.850552716932669,0.9246353539408538,0.2912588119506836
Decision Tree Classifier,0.786950495049505,0.8210998650472335,0.7679245283018868,0.7923691828642323,0.7882175832998797,0.07874059677124023
Naïve Bayes Classifier,0.8167920792079209,0.8097727558066541,0.8614255765199161,0.8335288247805662,0.8898255943619251,0.04767632484436035
One-Class Classification,0.494079207920792,,,,0.5893044558122567,1.3172004222869873
K Nearest Neighbour Classifier,0.7987524752475247,0.7962070721571457,0.8349406009783369,0.8146605364182324,0.8889676910953508,0.10989141464233398
Random Forest Classifier,0.8606138613861386,0.8592834751455442,0.8839273235499651,0.8709564951838044,0.9429880904589858,1.1801717281341553
Neural Network Based Classifier,0.8487128712871288,0.8379448621553884,0.8878406708595389,0.8619267518253517,0.9248732473943233,5.147157907485962
