Model,Accuracy,Precision,Recall,F1-score,AUC,Time (s)
Logistic Regression,0.7196289821289821,0.7573878900910215,0.8481522956326988,0.7999825151702872,0.7816858826397299,0.1556224822998047
Support Vector Machine,0.7419871794871795,0.7596947709215027,0.8923852183650617,0.8206072470215287,0.7769921764898569,0.54933762550354
Decision Tree Classifier,0.6735722610722611,0.7540690806777762,0.7510862262038074,0.752161130429361,0.637080438558402,0.09441351890563965
Naïve Bayes Classifier,0.7182692307692309,0.7898316801020677,0.7827771556550951,0.7860470284586241,0.7822014763352149,0.0630645751953125
One-Class Classification,0.5800990675990676,,,,0.5103228486073202,1.5704481601715088
K Nearest Neighbour Classifier,0.6833916083916084,0.7399156614690596,0.8038297872340425,0.7704420980252716,0.7228487537232138,0.1574702262878418
Random Forest Classifier,0.7600815850815852,0.7840784597665331,0.8797536394176932,0.8290200177868797,0.8138436516823975,1.5683870315551758
Neural Network Based Classifier,0.7183177933177932,0.7670519224636542,0.8249272116461366,0.794830345087777,0.7550907092960364,23.520687580108643
