Model,Accuracy,Precision,Recall,F1-score,AUC,Time (s)
Logistic Regression,0.8487804878048781,0.8236493202027171,0.9030252100840336,0.8606618397796021,0.9231188836294011,1.471144437789917
Support Vector Machine,0.7,0.6899189970518361,0.7588795518207283,0.7222115513124876,0.7643859695777044,1.014984369277954
Decision Tree Classifier,0.9768292682926829,0.9722895010775205,0.9834733893557424,0.9776650313304514,0.9766892263234407,0.11298608779907227
Naïve Bayes Classifier,0.8341463414634147,0.8237574700902869,0.8628571428571428,0.8428105160063757,0.9110002482005461,0.12086033821105957
One-Class Classification,0.47073170731707314,,,,0.6025699675943836,1.7585299015045166
K Nearest Neighbour Classifier,0.6939024390243903,0.7031447718736473,0.7044817927170868,0.7035599461663721,0.8132196486189412,0.166975736618042
Random Forest Classifier,0.9817073170731707,0.9792882950139072,0.9858543417366947,0.9823132334604885,0.9948937280608445,1.6955523490905762
Neural Network Based Classifier,0.8451219512195122,0.8311436012914599,0.8864705882352941,0.8553200000113751,0.9175813743218807,3.4130685329437256
